code_insee;is_attractive;is_attractive_migratoire;is_attractive_naturel;nombre_d_equipements_culturels;nombre_d_equipements_sportifs;nombre_de_festivals
47143;True;True;False;1.0;8;0.0
47179;False;True;False;5.0;4;0.0
48096;False;True;False;4.0;13;0.0
49063;True;True;False;4.0;26;1.0
49080;True;False;True;17.0;42;1.0
49244;False;False;True;28.0;98;3.0
49331;True;True;False;36.0;81;4.0
50041;False;False;True;33.0;62;1.0
50076;True;True;False;2.0;12;0.0
50082;False;False;True;6.0;16;0.0
50099;False;True;False;18.0;29;1.0
50197;True;True;False;0.0;9;0.0
50218;False;True;False;23.0;27;3.0
50292;True;True;False;3.0;9;0.0
50400;False;False;False;5.0;9;0.0
50551;False;False;False;6.0;9;0.0
50601;True;True;False;3.0;14;0.0
50639;False;True;False;6.0;15;1.0
52008;False;True;False;3.0;4;0.0
52058;False;False;True;3.0;11;0.0
52197;False;True;False;2.0;11;0.0
52247;False;False;False;0.0;4;0.0
52405;False;False;False;7.0;12;0.0
53062;False;True;False;26.0;59;5.0
53152;False;True;False;2.0;20;1.0
55122;False;False;False;16.0;24;2.0
55181;False;False;False;3.0;16;0.0
55351;False;False;False;8.0;6;0.0
55533;False;True;False;7.0;12;0.0
56091;True;True;False;22.0;20;2.0
56169;True;True;False;8.0;25;1.0
56184;True;True;False;13.0;25;2.0
56186;False;True;False;19.0;42;3.0
56240;True;True;False;12.0;34;3.0
57089;False;False;False;5.0;39;1.0
57097;False;False;False;1.0;24;1.0
57332;False;False;False;5.0;28;1.0
57483;False;False;False;3.0;26;0.0
57650;True;True;True;3.0;9;0.0
58065;False;True;False;3.0;6;0.0
58145;False;True;False;2.0;5;4.0
58151;False;True;False;2.0;9;0.0
58182;False;True;False;7.0;5;0.0
58304;False;False;False;11.0;4;0.0
59249;False;False;False;7.0;21;0.0
59571;False;False;False;2.0;10;0.0
60395;False;False;True;5.0;32;0.0
60577;False;False;True;3.0;9;0.0
61038;False;True;False;7.0;12;0.0
61181;False;True;False;3.0;10;0.0
61214;False;False;False;13.0;28;2.0
62364;False;True;False;1.0;11;0.0
62397;False;False;False;2.0;14;0.0
63040;True;True;False;25.0;17;3.0
63132;True;True;False;3.0;7;0.0
64062;True;True;False;6.0;17;0.0
64063;False;True;False;1.0;8;0.0
64233;False;True;False;2.0;11;0.0
64331;False;True;False;3.0;9;0.0
64405;True;True;True;2.0;32;0.0
64493;True;True;False;2.0;23;0.0
64519;True;True;True;1.0;19;1.0
65031;False;False;False;7.0;4;0.0
65059;False;True;False;17.0;25;7.0
65258;False;True;False;4.0;15;0.0
65452;False;True;False;4.0;7;0.0
66049;False;True;False;9.0;24;6.0
66065;True;True;False;11.0;25;0.0
66108;True;True;False;3.0;17;1.0
66125;False;False;False;4.0;4;1.0
66130;True;True;False;3.0;15;1.0
66222;True;True;False;1.0;8;0.0
67020;False;False;False;1.0;2;0.0
67176;True;True;True;1.0;7;0.0
67281;True;True;True;3.0;17;0.0
67291;True;True;False;1.0;10;0.0
67448;False;False;False;2.0;6;0.0
68162;False;False;False;36.0;19;0.0
68231;True;True;False;16.0;4;0.0
69010;True;False;True;4.0;21;0.0
69018;True;True;False;4.0;10;0.0
69019;True;True;True;7.0;24;1.0
69288;True;True;True;1.0;16;0.0
70120;False;False;False;2.0;14;0.0
70292;False;False;False;5.0;12;1.0
71106;True;True;False;11.0;14;1.0
71120;False;True;False;3.0;16;1.0
71137;True;True;False;36.0;25;12.0
71158;True;True;False;5.0;12;3.0
71178;False;False;True;2.0;5;0.0
71192;False;True;False;1.0;9;0.0
71351;False;True;False;5.0;10;0.0
71545;True;True;False;3.0;5;0.0
72071;False;False;False;11.0;38;1.0
72124;True;True;False;4.0;21;0.0
72334;False;True;False;3.0;23;0.0
72363;False;True;False;2.0;14;0.0
73010;True;True;True;1.0;21;0.0
74119;True;True;True;12.0;24;5.0
74169;True;True;True;1.0;7;0.0
74264;True;True;True;3.0;9;0.0
76159;False;False;True;6.0;12;0.0
76196;True;True;False;3.0;8;0.0
76302;True;True;False;2.0;13;0.0
76312;False;False;False;6.0;13;0.0
76329;False;False;True;1.0;9;0.0
76392;False;False;False;0.0;7;0.0
76647;True;True;False;3.0;9;1.0
76648;False;False;False;1.0;11;0.0
78310;True;True;False;8.0;15;0.0
78321;True;True;False;4.0;13;1.0
78380;True;True;True;7.0;12;0.0
79174;False;False;False;17.0;43;4.0
79202;False;True;False;25.0;31;4.0
79307;False;False;False;2.0;14;1.0
79329;False;True;False;36.0;50;4.0
80570;False;True;False;3.0;19;0.0
80620;False;True;False;7.0;57;3.0
80685;False;False;False;4.0;32;1.0
81003;False;False;False;2.0;7;0.0
81033;False;False;False;0.0;20;1.0
81069;False;True;False;30.0;8;3.0
81099;True;True;False;18.0;53;4.0
81222;True;True;False;2.0;10;1.0
82022;False;True;False;1.0;3;0.0
82134;True;True;False;8.0;21;0.0
83042;False;False;True;4.0;20;1.0
83073;True;True;False;6.0;27;0.0
84054;True;True;False;17.0;45;6.0
84072;True;True;False;5.0;18;0.0
84080;True;True;True;5.0;27;0.0
84133;True;True;False;6.0;11;3.0
85047;True;True;False;8.0;52;0.0
85065;True;True;False;1.0;7;0.0
85152;True;True;True;4.0;20;0.0
85288;True;True;False;6.0;19;0.0
86070;False;True;False;14.0;24;2.0
86078;False;True;False;7.0;20;1.0
86092;False;True;False;1.0;14;0.0
86193;False;True;False;1.0;7;0.0
87011;False;False;False;7.0;17;2.0
87040;False;True;False;3.0;7;0.0
88095;True;True;False;4.0;8;0.0
88114;False;False;False;4.0;18;0.0
88124;False;True;False;5.0;7;0.0
88181;False;True;False;3.0;9;0.0
88304;False;False;False;12.0;21;2.0
89046;False;False;False;4.0;5;0.0
89257;False;True;False;3.0;27;1.0
89418;False;False;False;23.0;12;1.0
89461;False;False;False;2.0;7;1.0
91359;True;True;True;4.0;8;0.0
91405;False;False;False;11.0;15;0.0
95652;True;True;True;4.0;13;1.0
97115;True;True;True;11.0;19;0.0
97357;True;True;True;0.0;5;0.0
97401;True;False;True;3.0;20;0.0
01185;False;True;False;3.0;29;2.0
01244;True;True;True;2.0;20;3.0
01269;False;True;False;5.0;12;1.0
01305;False;True;False;3.0;14;2.0
01350;True;False;True;1.0;11;0.0
01420;False;True;False;2.0;13;0.0
01443;True;True;False;5.0;18;1.0
02141;False;True;False;3.0;14;0.0
02430;False;True;False;4.0;8;0.0
02502;False;False;False;3.0;5;0.0
02602;False;False;False;1.0;12;0.0
02738;False;False;True;5.0;42;1.0
02758;True;True;False;2.0;6;0.0
02810;False;False;True;13.0;32;0.0
03036;False;True;False;13.0;13;2.0
03082;False;True;False;4.0;19;0.0
03161;True;True;False;2.0;6;0.0
03298;True;True;False;1.0;18;0.0
04088;True;True;False;18.0;21;4.0
04209;True;True;False;12.0;20;1.0
05050;True;True;False;1.0;3;0.0
05070;True;True;False;3.0;20;5.0
05132;True;True;False;5.0;14;0.0
05166;True;True;False;5.0;15;0.0
06023;False;True;False;10.0;12;1.0
06103;True;True;False;2.0;12;0.0
07132;False;False;False;7.0;10;0.0
08419;False;True;False;1.0;4;1.0
08491;False;False;True;1.0;16;1.0
10034;False;True;False;7.0;10;0.0
10064;False;True;False;10.0;13;0.0
10080;False;False;False;2.0;7;2.0
10140;False;True;False;5.0;5;0.0
11103;True;True;False;2.0;8;1.0
11266;True;True;False;1.0;20;2.0
11304;False;False;False;4.0;22;0.0
11379;True;True;False;6.0;17;0.0
12089;False;False;False;10.0;22;1.0
12198;False;True;False;3.0;11;1.0
14027;False;False;False;4.0;10;0.0
14035;False;False;False;4.0;6;0.0
14061;False;False;True;9.0;28;0.0
14098;True;True;True;10.0;20;0.0
14126;False;True;False;6.0;6;0.0
14143;True;True;False;4.0;7;0.0
14225;False;False;False;11.0;14;2.0
14312;False;True;False;3.0;7;0.0
14333;False;False;False;66.0;26;2.0
14342;False;True;False;5.0;12;0.0
14431;False;False;True;22.0;19;0.0
14654;False;False;False;21.0;19;0.0
14711;False;True;False;3.0;8;0.0
15175;False;False;False;6.0;4;0.0
16106;True;True;False;21.0;15;2.0
16192;False;True;False;5.0;22;0.0
16281;False;True;False;9.0;14;1.0
16286;False;True;False;4.0;9;1.0
16366;False;True;False;3.0;11;0.0
17224;True;True;False;6.0;11;0.0
17240;True;True;False;2.0;21;2.0
17331;False;True;False;3.0;14;0.0
17421;False;True;False;1.0;21;2.0
18057;False;False;False;7.0;13;1.0
18087;False;False;False;7.0;13;0.0
18241;False;False;False;8.0;7;1.0
19011;True;True;False;3.0;7;0.0
19036;True;True;False;3.0;16;2.0
19138;False;True;False;4.0;6;1.0
21501;True;True;False;4.0;8;0.0
22004;True;True;False;7.0;22;1.0
22050;True;True;False;83.0;32;10.0
22136;True;True;False;5.0;43;1.0
22137;False;True;False;2.0;6;1.0
22143;True;True;False;3.0;6;1.0
22147;True;True;False;3.0;18;1.0
22222;True;True;False;5.0;15;3.0
22362;False;True;False;32.0;12;2.0
23008;False;False;False;19.0;21;4.0
23025;True;True;False;2.0;14;0.0
23045;False;True;False;5.0;10;0.0
23079;False;True;False;15.0;22;2.0
23089;False;True;False;1.0;4;0.0
23105;False;False;False;2.0;3;0.0
23176;False;False;False;11.0;31;1.0
24028;False;True;False;21.0;13;0.0
24294;True;True;False;4.0;22;0.0
24396;False;True;False;6.0;10;0.0
25047;False;False;False;9.0;22;0.0
25237;False;False;True;1.0;4;0.0
25315;False;False;False;1.0;19;0.0
25411;True;True;False;7.0;27;3.0
26063;False;True;False;4.0;16;1.0
26114;True;True;False;8.0;10;3.0
27051;False;False;False;3.0;19;0.0
27056;False;False;False;16.0;44;1.0
27117;False;False;False;3.0;6;0.0
27279;False;False;True;2.0;14;1.0
27448;False;True;False;3.0;20;0.0
27470;False;False;True;0.0;13;0.0
28027;False;True;False;2.0;4;0.0
28061;False;True;False;4.0;23;0.0
28149;False;False;False;4.0;5;0.0
28279;False;False;False;8.0;16;0.0
28387;False;True;False;2.0;9;0.0
29020;True;True;True;6.0;17;1.0
29158;False;True;False;16.0;15;2.0
29197;False;True;False;6.0;12;0.0
29199;False;True;False;3.0;19;0.0
29233;True;True;False;25.0;49;4.0
29260;True;True;False;4.0;34;0.0
29302;False;False;False;2.0;24;0.0
2A249;False;False;False;2.0;10;1.0
2B096;True;True;False;17.0;21;0.0
30034;True;True;True;2.0;16;0.0
30132;False;False;False;4.0;16;2.0
30263;False;False;False;5.0;9;0.0
31033;True;True;False;3.0;26;0.0
31239;False;True;False;3.0;6;0.0
31582;True;True;False;4.0;23;0.0
32079;False;True;False;1.0;13;0.0
32233;False;True;False;6.0;9;1.0
32296;True;True;False;4.0;17;1.0
32319;False;True;False;2.0;11;0.0
32410;True;True;False;4.0;13;2.0
33042;True;True;True;5.0;11;0.0
33108;True;True;False;4.0;13;1.0
33227;False;True;False;5.0;29;0.0
34079;True;True;False;13.0;18;1.0
34101;True;True;False;1.0;17;0.0
34111;True;True;False;4.0;16;0.0
34147;True;True;False;4.0;12;1.0
34199;False;False;False;45.0;27;3.0
35023;True;True;True;1.0;7;0.0
35126;True;True;True;3.0;21;0.0
35152;True;True;True;4.0;24;1.0
35176;True;True;True;4.0;14;1.0
35184;True;True;True;5.0;13;0.0
35188;True;True;False;8.0;19;0.0
35223;True;True;False;4.0;12;2.0
35282;True;False;True;6.0;7;0.0
35297;False;True;False;6.0;11;0.0
36001;False;True;False;3.0;9;0.0
36005;False;False;False;2.0;11;0.0
36006;False;True;False;8.0;31;4.0
36045;False;False;False;10.0;13;0.0
36046;False;True;False;14.0;15;0.0
36093;False;True;False;7.0;12;2.0
36228;False;True;False;5.0;10;1.0
37031;False;True;False;8.0;14;0.0
37063;False;False;False;6.0;25;2.0
37225;True;False;True;4.0;6;0.0
38226;True;True;False;9.0;7;0.0
38269;False;True;False;3.0;16;0.0
39478;False;False;False;12.0;27;1.0
40197;False;True;False;6.0;22;1.0
41136;True;True;False;7.0;17;0.0
41151;False;True;False;14.0;14;0.0
41159;True;True;False;2.0;6;0.0
41242;False;True;False;9.0;17;0.0
42011;False;False;False;2.0;12;0.0
42165;False;True;False;2.0;13;0.0
42204;False;True;False;12.0;9;0.0
42224;True;True;False;2.0;7;1.0
43112;False;False;False;5.0;15;1.0
43135;False;True;False;7.0;9;1.0
43185;True;True;False;2.0;10;0.0
43200;True;True;False;3.0;11;0.0
43267;True;True;False;1.0;6;0.0
44015;True;True;True;6.0;28;0.0
44072;True;True;True;6.0;22;0.0
44087;True;True;False;6.0;25;1.0
44161;True;True;False;2.0;14;1.0
44180;False;False;True;13.0;46;0.0
44195;True;True;True;3.0;36;0.0
44212;True;True;True;5.0;23;2.0
45028;True;True;False;19.0;27;3.0
45115;False;True;False;3.0;17;0.0
45203;True;True;False;13.0;22;5.0
45315;False;False;False;8.0;17;1.0
46173;True;True;False;6.0;9;0.0
46185;True;True;False;13.0;7;3.0
46309;False;True;False;9.0;14;2.0
46330;False;False;False;5.0;5;0.0
47004;False;False;False;8.0;11;0.0
47048;True;True;False;2.0;7;0.0
47078;True;True;False;3.0;12;0.0
47086;False;True;False;3.0;8;1.0
47168;False;True;False;1.0;13;2.0
48017;True;True;True;3.0;5;0.0
48039;False;False;True;5.0;16;1.0
48080;False;True;False;6.0;19;1.0
48140;False;True;False;5.0;29;0.0
49180;False;False;False;6.0;18;0.0
49228;False;False;False;25.0;44;1.0
49248;False;True;False;14.0;56;0.0
50031;False;True;False;5.0;11;0.0
50139;True;False;True;2.0;14;0.0
50236;False;True;False;4.0;14;0.0
50359;False;True;False;4.0;15;0.0
50402;True;True;True;1.0;15;0.0
50417;True;True;False;2.0;2;0.0
50523;False;True;False;9.0;10;0.0
51507;True;True;False;8.0;28;0.0
51612;False;True;False;1.0;20;0.0
52050;False;False;True;2.0;9;0.0
52074;False;True;False;6.0;5;0.0
52269;False;True;False;54.0;26;6.0
53003;False;True;False;4.0;17;0.0
53084;False;True;False;7.0;23;1.0
53096;False;True;False;8.0;24;0.0
53107;False;True;False;3.0;17;0.0
53161;False;False;False;8.0;15;0.0
54263;True;True;False;1.0;14;0.0
54322;False;False;False;2.0;15;0.0
55427;False;False;True;2.0;12;0.0
55463;False;False;False;22.0;18;0.0
56001;True;True;False;3.0;19;3.0
56057;False;True;False;12.0;14;0.0
56127;True;True;False;2.0;17;0.0
56165;False;True;False;26.0;43;0.0
57207;False;False;True;0.0;22;0.0
58046;False;True;False;2.0;8;0.0
58062;False;False;False;6.0;11;1.0
58083;False;True;False;4.0;7;3.0
58095;False;True;False;8.0;17;3.0
58227;False;True;False;5.0;5;0.0
58267;False;True;False;2.0;4;0.0
59015;True;True;False;1.0;12;0.0
59035;False;False;False;1.0;8;0.0
59037;False;True;False;1.0;15;0.0
59053;False;True;False;7.0;16;0.0
59331;False;False;False;1.0;13;1.0
59481;False;True;False;5.0;16;0.0
60104;False;False;False;5.0;21;0.0
60157;False;True;False;12.0;26;3.0
61230;False;True;False;8.0;15;0.0
61339;False;False;False;6.0;11;0.0
61464;False;True;False;15.0;14;1.0
61483;True;True;False;5.0;10;3.0
61508;False;True;False;2.0;9;0.0
62063;False;False;True;3.0;3;0.0
62268;False;False;False;3.0;16;0.0
62516;False;False;True;7.0;25;1.0
62588;False;True;False;19.0;5;1.0
63281;False;True;False;2.0;10;1.0
63291;False;True;False;3.0;13;0.0
63354;False;True;False;2.0;12;1.0
64371;False;True;False;6.0;17;1.0
64416;True;True;False;5.0;13;1.0
64430;True;True;False;17.0;65;2.0
64453;False;True;False;3.0;18;0.0
64485;False;True;False;8.0;20;0.0
65025;False;True;False;4.0;13;1.0
65375;False;True;False;2.0;8;0.0
65389;True;True;False;2.0;5;0.0
66016;False;True;False;5.0;21;1.0
66071;True;True;False;4.0;7;0.0
66124;False;False;False;8.0;27;0.0
66148;False;True;False;13.0;16;2.0
66164;True;True;False;5.0;22;0.0
66180;False;False;False;1.0;25;0.0
66210;True;True;False;4.0;23;2.0
67021;False;False;True;6.0;18;0.0
67061;False;False;False;21.0;15;1.0
67101;True;True;False;6.0;4;0.0
67414;False;False;False;1.0;1;0.0
67507;False;True;False;5.0;10;0.0
68068;True;True;False;2.0;10;0.0
68201;False;True;False;11.0;17;1.0
68226;True;True;False;10.0;23;2.0
68249;False;False;False;4.0;12;0.0
68298;False;True;False;13.0;18;2.0
68334;False;True;False;18.0;22;0.0
69141;True;True;True;11.0;19;2.0
70122;False;True;False;14.0;10;0.0
