Code;Libellé;Population au dernier recensement 2021;Médiane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre d'équipements sportifs 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre grandes surfaces 2023;Nombre de supérettes et épieries;Nombre boulangeries et patisseries;Nombre écoles primaires maternelles élémentaires;Nombre de collèges;Nombre de lycées;Nombre de médecins généralistes;Nombre de dentistes;Nombre de pharmacies
1057;Boz;510;23350;14.1;22.2;11.2;21;23.9;2;3.9;0;0;0;1;0;0;0;0;0
1058;Brégnier-Cordon;818;22990;18.5;19.3;14.2;18.1;20.2;9;11;0;1;3;1;0;0;0;0;0
1060;Brénod;518;23850;19.6;16.1;14.5;16.3;19;6;12.3;0;0;1;1;0;0;0;0;0
1061;Brens;1129;24550;23.1;17.4;12.6;16.8;24.8;4;3.5;0;0;0;1;0;0;0;0;0
1062;Bressolles;978;28420;15;20.9;16;20.7;21.4;5;5.3;0;0;1;1;0;0;0;0;0
1063;Brion;576;24690;18.3;17.2;13.8;16.9;22.3;7;12.5;0;0;0;1;0;0;0;0;0
1064;Briord;1099;21930;14.4;22.1;14.1;21.8;24;2;1.8;1;0;0;1;1;0;0;0;0
1065;Buellas;1851;26450;18.8;19.1;12.6;18.6;23.1;9;4.9;0;0;1;1;0;0;1;0;1
1066;La Burbanche;95;N/A - résultat non disponible;20.1;20.2;12.3;19.1;22.4;1;10.9;0;0;0;0;0;0;0;0;0
1067;Ceignes;261;25060;12.2;18.9;16.2;20.4;29.2;2;7.7;0;0;0;0;0;0;0;0;0
1068;Cerdon;761;21360;16.7;15.8;15;18.3;21;1;1.3;0;1;0;1;0;0;0;0;0
1069;Certines;1505;25040;18.6;17.3;16.6;17.5;25.6;6;4;0;0;1;1;0;0;0;0;0
1071;Cessy;5307;39950;11.7;21.9;16.4;24;22;5;1;3;0;2;2;0;1;2;7;1
1072;Ceyzériat;3285;25010;16.5;19.7;14.1;18.6;21.1;13;4.1;0;1;4;2;1;0;3;2;1
1073;Ceyzérieu;992;24710;24.1;15.7;10.8;17.4;22.7;4;4;0;1;1;1;0;0;0;0;0
1074;Chalamont;2559;22690;14.7;20.3;15.9;18.9;20.1;11;4.3;1;1;4;1;0;0;4;2;1
1075;Chaleins;1430;24170;14.9;20.7;16.3;21.2;22.5;4;2.9;0;0;2;1;0;0;2;0;0
1076;Chaley;124;20880;32.6;7.7;6.2;17.1;20.9;1;8.2;0;0;0;0;0;0;0;0;0
