Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
26165;Livron-sur-Drôme;1.1;1.7;16.0;1.0;23.9
26307;Saint-Jean-en-Royans;3.6;4.6;13.0;1.0;15.8
27116;Brionne;2.4;3.8;16.0;1.0;13.0
27151;Charleval;5.9;1.8;3.0;1.0;28.0
27246;Fleury-sur-Andelle;5.5;7.7;14.0;1.0;17.7
27355;Ivry-la-Bataille;3.8;3.0;8.0;1.0;12.1
27377;Lyons-la-Forêt;14.1;5.6;4.0;1.0;12.0
27493;Romilly-sur-Andelle;3.1;3.7;12.0;1.0;20.3
28196;Illiers-Combray;12.4;4.9;16.0;4.0;15.1
28214;La Loupe;6.0;3.6;12.0;2.0;11.7
28391;Toury;3.9;4.7;12.0;1.0;19.0
29024;Carhaix-Plouguer;2.8;4.6;33.0;2.0;18.6
29039;Concarneau;2.5;2.4;48.0;5.0;26.4
29043;Daoulas;5.5;3.8;7.0;1.0;31.6
29053;Le Faou;5.6;3.9;7.0;1.0;22.6
29072;Guilvinec;3.7;3.7;10.0;1.0;14.1
29105;Landivisiau;2.2;3.7;34.0;2.0;26.9
29162;Pleyben;2.8;6.1;22.0;1.0;25.2
29217;Pont-Aven;7.1;4.9;14.0;2.0;17.3
29284;Treffiagat;4.1;2.9;7.0;1.0;17.2
2A247;Porto-Vecchio;1.8;2.0;22.0;2.0;24.2
2B152;Luri;0.0;5.9;5.0;0.0;15.8
30032;Beaucaire;3.2;2.3;36.0;5.0;19.9
30133;Le Grau-du-Roi;3.6;3.5;29.0;3.0;17.5
30210;Quissac;3.0;3.9;13.0;1.0;18.2
30321;Sommières;4.0;3.2;16.0;2.0;14.8
31454;Rieumes;2.7;2.2;8.0;1.0;20.0
32132;Fleurance;3.4;3.1;18.0;2.0;21.6
32147;Gimont;3.3;7.6;23.0;1.0;20.6
32344;Riscle;5.7;11.4;20.0;1.0;24.1
33389;Saint-Ciers-sur-Gironde;6.6;3.0;9.0;2.0;14.4
33402;Sainte-Foy-la-Grande;7.5;1.5;4.0;2.0;18.7
34081;Colombiers;3.7;2.2;6.0;1.0;16.9
34114;Gignac;3.0;3.0;20.0;2.0;18.8
34150;Marseillan;2.6;2.2;17.0;2.0;14.8
34189;Olonzac;0.0;7.7;13.0;0.0;15.0
34239;Saint-André-de-Sangonis;1.6;1.9;12.0;1.0;16.7
34284;Saint-Pons-de-Thomières;17.2;10.3;18.0;3.0;14.2
35004;Val-Couesnon;7.3;2.7;11.0;3.0;15.2
35012;Bain-de-Bretagne;2.7;1.6;12.0;2.0;30.4
35069;Châteaugiron;3.8;2.0;21.0;4.0;39.0
35239;Retiers;4.4;2.2;10.0;2.0;25.8
35257;Maen Roch;2.0;2.0;10.0;1.0;24.2
36031;Buzançais;4.4;5.1;23.0;2.0;16.1
36034;Chabris;3.6;5.4;15.0;1.0;13.8
36063;Déols;1.3;4.0;31.0;1.0;16.7
36230;Vatan;5.2;4.7;9.0;1.0;20.8
37091;La Croix-en-Touraine;8.3;2.9;7.0;2.0;26.2
37123;Langeais;4.6;4.8;21.0;2.0;18.0
37130;Ligueil;9.5;4.7;10.0;2.0;16.3
37226;Sainte-Maure-de-Touraine;7.2;3.6;15.0;3.0;17.2
38034;Beaurepaire;4.0;2.4;12.0;2.0;14.0
38087;Chasse-sur-Rhône;1.6;1.9;12.0;1.0;35.6
39333;Moirans-en-Montagne;14.1;6.6;14.0;3.0;21.7
39500;Salins-les-Bains;11.9;5.9;15.0;3.0;26.6
40002;Amou;6.4;7.7;12.0;1.0;19.8
40102;Gabarret;7.8;10.2;13.0;1.0;22.0
40119;Hagetmau;4.3;3.9;18.0;2.0;26.2
40194;Montfort-en-Chalosse;8.4;5.9;7.0;1.0;31.3
40331;Villeneuve-de-Marsan;4.1;2.9;7.0;1.0;21.6
41123;Marchenoir;0.0;5.9;4.0;0.0;11.2
41143;Mondoubleau;7.6;9.2;12.0;1.0;13.3
41167;Veuzain-sur-Loire;2.9;2.9;10.0;1.0;18.8
41171;Oucques La Nouvelle;5.9;4.1;7.0;1.0;20.5
41269;Vendôme;5.1;2.7;43.0;8.0;18.2
42052;Charlieu;10.8;4.6;17.0;4.0;33.0
42181;Régny;6.7;3.4;5.0;1.0;17.0
42289;Saint-Symphorien-de-Lay;5.2;2.6;5.0;1.0;13.5
43003;Allègre;11.5;8.0;7.0;1.0;34.9
43141;Montfaucon-en-Velay;8.7;6.1;7.0;1.0;22.0
43234;Saugues;5.9;10.0;17.0;1.0;19.3
43268;Yssingeaux;2.7;4.2;31.0;2.0;23.1
44084;Le Loroux-Bottereau;2.3;1.9;16.0;2.0;30.1
44116;Paimbœuf;3.3;5.3;16.0;1.0;17.2
45053;Briare;5.8;3.3;17.0;3.0;16.7
45082;Châteauneuf-sur-Loire;2.4;1.9;16.0;2.0;23.9
45145;Ferrières-en-Gâtinais;2.7;3.0;11.0;1.0;18.2
46038;Bretenoux;0.0;4.4;6.0;0.0;21.8
46045;Cajarc;17.9;11.6;13.0;2.0;33.5
46063;Castelnau-Montratier;5.4;7.1;13.0;1.0;19.3
46251;Saint-Céré;8.8;3.8;13.0;3.0;24.8
47143;Lavardac;4.4;3.5;8.0;1.0;20.1
47179;Monsempron-Libos;9.7;1.9;4.0;2.0;12.5
48096;Meyrueis;12.6;16.4;13.0;1.0;34.4
49063;Chalonnes-sur-Loire;3.1;4.0;26.0;2.0;29.5
49080;Les Hauts-d'Anjou;8.0;4.8;42.0;7.0;20.6
49244;Mauges-sur-Loire;8.8;5.4;98.0;16.0;27.8
49331;Segré-en-Anjou Bleu;7.4;4.6;81.0;13.0;29.5
50041;La Hague;14.2;5.5;62.0;16.0;30.1
50076;Bréhal;2.9;3.5;12.0;1.0;30.3
50082;Bricquebec-en-Cotentin;5.1;2.7;16.0;3.0;16.5
50099;Carentan-les-Marais;2.0;2.8;29.0;2.0;18.9
50197;Gavray-sur-Sienne;0.0;4.5;9.0;0.0;14.5
50218;Granville;6.4;2.2;27.0;8.0;24.2
50292;Marigny-Le-Lozon;3.7;3.3;9.0;1.0;26.6
50400;Picauville;3.1;2.8;9.0;1.0;14.0
50551;Saint-Sauveur-le-Vicomte;14.5;4.3;9.0;3.0;17.0
50601;Torigny-les-Villes;4.5;3.2;14.0;2.0;22.7
50639;Villedieu-les-Poêles-Rouffigny;7.8;3.9;15.0;3.0;16.1
52008;Andelot-Blancheville;11.5;4.6;4.0;1.0;15.3
52058;Bologne;5.5;6.0;11.0;1.0;25.7
52197;Fayl-Billot;7.8;8.6;11.0;1.0;14.4
52247;Illoud;0.0;19.6;4.0;0.0;17.3
52405;Le Montsaugeonnais;17.4;10.4;12.0;2.0;17.0
53062;Château-Gontier-sur-Mayenne;5.3;3.5;59.0;9.0;24.8
53152;Meslay-du-Maine;3.6;7.2;20.0;1.0;29.7
55122;Commercy;9.3;4.5;24.0;5.0;28.0
55181;Étain;2.9;4.6;16.0;1.0;18.8
55351;Montmédy;14.7;2.9;6.0;3.0;18.7
55533;Vaucouleurs;10.4;6.2;12.0;2.0;31.5
56091;Josselin;8.0;8.0;20.0;2.0;21.7
56169;Plouhinec;3.7;4.7;25.0;2.0;20.9
56184;Questembert;2.5;3.1;25.0;2.0;26.9
56186;Quiberon;4.3;9.0;42.0;2.0;24.6
56240;Sarzeau;1.1;3.8;34.0;1.0;24.8
57089;Bitche;4.0;7.9;39.0;2.0;22.1
57097;Boulay-Moselle;1.8;4.3;24.0;1.0;17.1
57332;Hombourg-Haut;0.0;4.5;28.0;0.0;14.8
57483;Morhange;2.9;7.7;26.0;1.0;12.8
57650;Sierck-les-Bains;5.6;5.1;9.0;1.0;27.6
58065;Châtillon-en-Bazois;21.9;6.6;6.0;2.0;18.4
58145;Lormes;7.9;3.9;5.0;1.0;15.3
58151;La Machine;6.2;2.8;9.0;2.0;13.9
58182;Moulins-Engilbert;14.1;3.5;5.0;2.0;17.0
58304;Varzy;19.0;3.8;4.0;2.0;14.9
59249;Fourmies;4.4;1.8;21.0;5.0;13.8
59571;Solesmes;2.3;2.3;10.0;1.0;16.5
60395;Méru;2.1;2.2;32.0;3.0;15.7
60577;Saint-Germer-de-Fly;5.9;5.3;9.0;1.0;11.2
61038;Bellême;6.9;8.2;12.0;1.0;18.0
61181;Gacé;11.1;5.6;10.0;2.0;21.6
61214;L'Aigle;5.1;3.5;28.0;4.0;18.8
62364;Fruges;4.3;4.7;11.0;1.0;19.9
62397;Guînes;1.8;2.5;14.0;1.0;19.4
63040;Billom;4.2;3.5;17.0;2.0;18.4
63132;Cunlhat;15.2;5.3;7.0;2.0;19.1
64062;Arudy;13.3;7.5;17.0;3.0;25.6
64063;Arzacq-Arraziguet;9.5;7.6;8.0;1.0;40.2
64233;Garlin;14.8;8.1;11.0;2.0;27.4
64331;Lembeye;13.0;11.7;9.0;1.0;52.5
64405;Morlaàs;2.3;7.4;32.0;1.0;29.4
64493;Saint-Palais;10.3;11.8;23.0;2.0;25.0
64519;Serres-Castet;2.3;4.3;19.0;1.0;39.1
65031;Arreau;13.0;5.2;4.0;1.0;30.2
