Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Echelle_influence;Dans_influence
05017;La Bâtie-Neuve;T02_20;05017;La Bâtie-Neuve;3.0;Oui
05040;Chorges;T02_20;05040;Chorges;3.0;Oui
05046;Embrun;T01_10;05046;Embrun;2.0;Oui
05050;Espinasses;T02_20;05050;Espinasses;3.0;Oui
05065;Guillestre;T00_30;05065;Guillestre;1.0;Non
05070;Laragne-Montéglin;T01_10;05070;Laragne-Montéglin;2.0;Oui
05132;Saint-Bonnet-en-Champsaur;T02_20;05132;Saint-Bonnet-en-Champsaur;3.0;Oui
05166;Serres;T00_30;05166;Serres;1.0;Non
05170;Tallard;T02_20;05170;Tallard;3.0;Oui
05179;Veynes;T02_20;05179;Veynes;3.0;Oui
06023;Breil-sur-Roya;T00_30;06023;Breil-sur-Roya;1.0;Non
06099;Puget-Théniers;T03_20;06099;Puget-Théniers;;Non
06103;Roquebillière;T03_20;06103;Roquebillière;;Non
06130;Saint-Vallier-de-Thiey;T00_30;06130;Saint-Vallier-de-Thiey;1.0;Non
06136;Sospel;T02_20;06136;Sospel;3.0;Oui
06163;Tende;T00_30;06163;Tende;1.0;Non
07042;Bourg-Saint-Andéol;T01_20;07042;Bourg-Saint-Andéol;;Non
07064;Le Cheylard;T01_10;07064;Le Cheylard;2.0;Oui
07132;Largentière;T02_20;07132;Largentière;3.0;Oui
07181;Le Pouzin;T01_10;07181;Le Pouzin;2.0;Oui
07201;Ruoms;T00_30;07201;Ruoms;1.0;Non
07204;Saint-Agrève;T00_30;07204;Saint-Agrève;1.0;Non
07319;Le Teil;T02_20;07319;Le Teil;3.0;Oui
07324;Tournon-sur-Rhône;T01_10;07324;Tournon-sur-Rhône;2.0;Oui
07330;Vallon-Pont-d'Arc;T00_30;07330;Vallon-Pont-d'Arc;1.0;Non
07334;Les Vans;T00_30;07334;Les Vans;1.0;Non
07341;Villeneuve-de-Berg;T02_20;07341;Villeneuve-de-Berg;3.0;Oui
07346;Viviers;T02_20;07346;Viviers;3.0;Oui
07349;La Voulte-sur-Rhône;T01_10;07349;La Voulte-sur-Rhône;2.0;Oui
08025;Attigny;T00_30;08025;Attigny;1.0;Non
08081;Bogny-sur-Meuse;T02_20;08081;Bogny-sur-Meuse;3.0;Oui
08090;Carignan;T01_10;08090;Carignan;2.0;Oui
08185;Fumay;T01_10;08185;Fumay;2.0;Oui
08190;Givet;T01_10;08190;Givet;2.0;Oui
08302;Monthermé;T02_20;08302;Monthermé;3.0;Oui
08311;Mouzon;T00_30;08311;Mouzon;1.0;Non
08328;Nouzonville;T02_20;08328;Nouzonville;3.0;Oui
08362;Rethel;T03_20;08362;Rethel;;Non
08363;Revin;T01_10;08363;Revin;2.0;Oui
08367;Rocroi;T00_30;08367;Rocroi;1.0;Non
08419;Signy-l'Abbaye;T02_20;08419;Signy-l'Abbaye;3.0;Oui
08420;Signy-le-Petit;T00_30;08420;Signy-le-Petit;1.0;Non
08486;Vireux-Molhain;T01_20;08486;Vireux-Molhain;;Non
08490;Vouziers;T01_10;08490;Vouziers;2.0;Oui
08491;Vrigne aux Bois;T02_20;08491;Vrigne aux Bois;3.0;Oui
09032;Ax-les-Thermes;T00_30;09032;Ax-les-Thermes;1.0;Non
09160;Lavelanet;T01_10;09160;Lavelanet;2.0;Oui
09167;Lézat-sur-Lèze;T45_20;09167;Lézat-sur-Lèze;4.0;Oui
09185;Mazères;T01_10;09185;Mazères;2.0;Oui
09194;Mirepoix;T00_30;09194;Mirepoix;1.0;Non
09261;Saint-Girons;T01_10;09261;Saint-Girons;2.0;Oui
09282;Saverdun;T45_20;09282;Saverdun;4.0;Oui
09306;Tarascon-sur-Ariège;T01_10;09306;Tarascon-sur-Ariège;2.0;Oui
10003;Aix-Villemaur-Pâlis;T03_20;10003;Aix-Villemaur-Pâlis;;Non
10006;Arcis-sur-Aube;T03_20;10006;Arcis-sur-Aube;;Non
10033;Bar-sur-Aube;T01_10;10033;Bar-sur-Aube;2.0;Oui
10034;Bar-sur-Seine;T01_10;10034;Bar-sur-Seine;2.0;Oui
10064;Brienne-le-Château;T01_10;10064;Brienne-le-Château;2.0;Oui
10080;Chaource;T03_20;10080;Chaource;;Non
10140;Ervy-le-Châtel;T00_30;10140;Ervy-le-Châtel;1.0;Non
10268;Nogent-sur-Seine;T01_10;10268;Nogent-sur-Seine;2.0;Oui
10323;Romilly-sur-Seine;T01_10;10323;Romilly-sur-Seine;2.0;Oui
10401;Vendeuvre-sur-Barse;T00_30;10401;Vendeuvre-sur-Barse;1.0;Non
10420;Villenauxe-la-Grande;T00_30;10420;Villenauxe-la-Grande;1.0;Non
11049;Bram;T02_20;11049;Bram;3.0;Oui
11076;Castelnaudary;T01_10;11076;Castelnaudary;2.0;Oui
11091;Chalabre;T00_30;11091;Chalabre;1.0;Non
11103;Couiza;T00_30;11103;Couiza;1.0;Non
11106;Coursan;T02_20;11106;Coursan;3.0;Oui
11116;Cuxac-d'Aude;T02_20;11116;Cuxac-d'Aude;3.0;Oui
11129;Espéraza;T00_30;11129;Espéraza;1.0;Non
11170;Gruissan;T02_20;11170;Gruissan;3.0;Oui
11203;Lézignan-Corbières;N/A - résultat non disponible;11203;Lézignan-Corbières;;Non
11206;Limoux;T01_10;11206;Limoux;2.0;Oui
11266;Port-la-Nouvelle;T01_10;11266;Port-la-Nouvelle;2.0;Oui
11304;Quillan;T00_30;11304;Quillan;1.0;Non
11315;Rieux-Minervois;T00_30;11315;Rieux-Minervois;1.0;Non
11379;Sigean;T02_20;11379;Sigean;3.0;Oui
11397;Trèbes;T02_20;11397;Trèbes;3.0;Oui
