Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
01133;Cressin-Rochefort;0;15.2;6;0.0;16.9
01134;Crottet;5.6;3.9;7;1.0;18.8
01135;Crozet;4.5;4.5;10;1.0;30.9
01136;Cruzilles-lès-Mépillat;10.8;4.3;4;1.0;19.7
01138;Culoz-Béon;2.9;5.8;20;1.0;16.7
01139;Curciat-Dongalon;0;13.5;6;0.0;36
01140;Curtafond;13.1;10.5;8;1.0;20.5
01141;Cuzieu;0;2.3;1;0.0;17.5
01142;Dagneux;0;4.2;20;0.0;21.8
01143;Divonne-les-Bains;2;3;30;2.0;25.9
01145;Dompierre-sur-Veyle;8.4;5;6;1.0;17.3
01146;Dompierre-sur-Chalaronne;0;4.6;2;0.0;20.2
01147;Domsure;0;5.9;3;0.0;15.4
01148;Dortan;5.3;3.7;7;1.0;20.7
01149;Douvres;9.1;4.6;5;1.0;23
01150;Drom;46.7;9.3;2;1.0;14.3
01151;Druillat;8.8;6.1;7;1.0;17.2
01152;Échallon;13.2;4;3;1.0;21.9
01153;Échenevex;4.7;4.7;10;1.0;32.6
01155;Évosges;0;28.2;4;0.0;17.3
01156;Faramans;0;7.1;6;0.0;23.5
01157;Fareins;4.3;4.3;10;1.0;23.7
01158;Farges;0;1.9;2;0.0;15.2
01159;Feillens;3;3.9;13;1.0;20.1
01160;Ferney-Voltaire;4.7;1.9;20;5.0;15.1
01162;Flaxieu;0;0;0;0.0;32.7
01163;Foissiat;5;2.5;5;1.0;17.6
01165;Francheleins;0;5;8;0.0;22.9
01166;Frans;4.1;1.7;4;1.0;21.9
01167;Garnerans;0;6.1;4;0.0;16.1
01169;Genouilleux;0;1.5;1;0.0;23.2
01170;Béard-Géovreissiat;0;1.9;2;0.0;12.6
01171;Géovreisset;0;2.4;2;0.0;19
01173;Gex;1.5;1.4;18;2.0;21.1
01174;Giron;0;34.1;6;0.0;26
01175;Gorrevod;0;6.3;5;0.0;25
01177;Grand-Corent;0;0;0;0.0;14.9
01179;Grièges;5.3;3.7;7;1.0;20.2
01180;Grilly;0;5.9;5;0.0;23.9
01181;Groissiat;0;2.4;3;0.0;23.3
01183;Guéreins;0;3.4;5;0.0;20.4
01184;Hautecourt-Romanèche;0;14.6;11;0.0;20.4
01185;Plateau d'Hauteville;4.1;6;29;2.0;18.5
01187;Haut Valromey;16.3;14.6;9;1.0;15.1
01188;Illiat;0;4.4;3;0.0;31.2
01189;Injoux-Génissiat;8.9;7.1;8;1.0;20.2
01190;Innimond;116.3;23.3;2;1.0;11.6
01191;Izenave;0;6.6;1;0.0;11
01192;Izernore;4.4;3.5;8;1.0;20.4
01193;Izieu;0;4.5;1;0.0;10
01194;Jassans-Riottier;1.6;2.8;18;1.0;19.2
01195;Jasseron;5.5;7.1;13;1.0;20.5
01196;Jayat;8.1;2.4;3;1.0;19.7
01197;Journans;26.5;0;0;1.0;21.8
01198;Joyeux;0;7.5;2;0.0;17
01199;Jujurieux;4.7;4.2;9;1.0;16
01200;Labalme;46.9;9.4;2;1.0;13.8
01202;Lagnieu;1.4;2.6;19;1.0;20.8
01203;Laiz;7.7;3.1;4;1.0;19.7
01204;Le Poizat-Lalleyriat;0;4;3;0.0;21
01206;Lantenay;0;0;0;0.0;27.1
01207;Lapeyrouse;0;6.4;2;0.0;30.4
01208;Lavours;0;0;0;0.0;15.3
01209;Léaz;12.6;2.5;2;1.0;14.3
01210;Lélex;43.3;21.6;5;1.0;17.8
01211;Lent;7.2;3.6;5;1.0;24.5
01212;Lescheroux;14;5.6;4;1.0;13
01213;Leyment;0;5.3;7;0.0;31.1
01214;Leyssard;0;6.2;1;0.0;11.6
01215;Surjoux-Lhopital;0;0;0;0.0;8.1
01216;Lhuis;11.2;1.1;1;1.0;12.2
01219;Lompnas;0;0;0;0.0;12.4
01224;Loyettes;3;2.7;9;1.0;19.2
01225;Lurcy;0;0;0;0.0;22.3
01227;Magnieu;0;3.1;2;0.0;25
01228;Maillat;0;1.5;1;0.0;16.1
01229;Malafretaz;8.2;10.6;13;1.0;22.5
01230;Mantenay-Montlin;0;0;0;0.0;17.1
01231;Manziat;5.1;4.6;9;1.0;24.4
01232;Marboz;4.4;7;16;1.0;23.5
01233;Marchamp;76.9;0;0;1.0;7.4
01234;Marignieu;0;6;1;0.0;10.3
01235;Marlieux;8.5;5.1;6;1.0;20.9
01236;Marsonnas;9.8;2.9;3;1.0;27.9
01237;Martignat;0;3;5;0.0;17.6
01238;Massieux;3.7;1.8;5;1.0;21.8
01239;Massignieu-de-Rives;0;11.1;7;0.0;21.2
01240;Matafelon-Granges;0;1.6;1;0.0;15.2
01241;Meillonnas;14.5;5.8;8;2.0;23.1
01242;Mérignat;0;0;0;0.0;17.7
01243;Messimy-sur-Saône;7.9;4.8;6;1.0;24.5
01244;Meximieux;2.5;2.5;20;2.0;21.9
01245;Bohas-Meyriat-Rignat;10.5;4.2;4;1.0;18.1
01246;Mézériat;4.5;5;11;1.0;20.4
01247;Mijoux;66.9;16.7;5;2.0;35
01248;Mionnay;4.5;5.3;12;1.0;29.2
01249;Miribel;2.9;3.5;36;3.0;21.9
01250;Misérieux;5.1;6.6;13;1.0;24.1
01252;Mogneneins;12.6;3.8;3;1.0;19.7
01254;Montagnat;4.7;4.2;9;1.0;31.1
01255;Montagnieu;0;0;0;0.0;14.3
01257;Montanges;0;2.8;1;0.0;22.5
01258;Montceaux;0;6.7;8;0.0;30.6
01259;Montcet;0;2.8;2;0.0;23.3
01260;Le Montellier;32.9;3.3;1;1.0;25.1
01261;Monthieux;14.7;10.3;7;1.0;24.3
01262;Montluel;2.9;2.6;18;2.0;19.8
01263;Montmerle-sur-Saône;2.7;2.9;11;1.0;22.9
