Code;Libellé;Taux d'évolution annuel de la population 2015-2021;Taux d'évolution annuel de la population due au solde naturel 2015-2021;Taux d'évolution annuel de la population due au solde migratoire apparent 2015-2021
08185;Fumay;-1.57;-0.87;-0.7
08190;Givet;-0.9;-0.43;-0.47
08302;Monthermé;-1.27;-0.68;-0.59
08311;Mouzon;-0.88;-0.76;-0.12
08328;Nouzonville;-1.16;-0.36;-0.8
08362;Rethel;-0.74;-0.13;-0.61
08363;Revin;-1.88;-0.42;-1.46
08367;Rocroi;-0.83;-0.64;-0.19
08419;Signy-l'Abbaye;-0.18;-1.08;0.9
08420;Signy-le-Petit;-1.19;-1.19;0
08486;Vireux-Molhain;-0.98;-0.23;-0.75
08490;Vouziers;-1.45;-1.06;-0.39
08491;Vrigne aux Bois;-0.64;0.02;-0.66
09032;Ax-les-Thermes;0.69;-1.1;1.8
09160;Lavelanet;-0.46;-0.76;0.3
09167;Lézat-sur-Lèze;0.14;-1.53;1.68
09185;Mazères;0.18;-0.76;0.95
09194;Mirepoix;-0.22;-1.02;0.8
09261;Saint-Girons;-0.2;-0.83;0.63
09282;Saverdun;0.28;-0.24;0.52
09306;Tarascon-sur-Ariège;-1.04;-1.24;0.2
10003;Aix-Villemaur-Pâlis;-0.69;-0.76;0.07
10006;Arcis-sur-Aube;-0.38;-1;0.62
10033;Bar-sur-Aube;-0.77;-0.55;-0.22
10034;Bar-sur-Seine;-0.99;-1.63;0.64
10064;Brienne-le-Château;-0.99;-1.48;0.49
10080;Chaource;-1.03;-1;-0.03
10140;Ervy-le-Châtel;-1.48;-3.71;2.23
10268;Nogent-sur-Seine;-0.44;0.1;-0.54
10323;Romilly-sur-Seine;0.31;-0.06;0.37
10401;Vendeuvre-sur-Barse;-0.47;-1.03;0.57
10420;Villenauxe-la-Grande;-0.55;-0.74;0.19
11049;Bram;-0.08;-0.89;0.81
11076;Castelnaudary;2.13;-0.53;2.66
11091;Chalabre;0.49;-2.31;2.8
11103;Couiza;0.03;-2.69;2.72
11106;Coursan;-0.27;-0.21;-0.06
11116;Cuxac-d'Aude;0.36;-0.56;0.92
11129;Espéraza;-2.2;-2.17;-0.03
11170;Gruissan;0.33;-0.93;1.26
11203;Lézignan-Corbières;-0.5;-0.43;-0.06
11206;Limoux;0.14;-0.89;1.03
11266;Port-la-Nouvelle;0.81;-1.03;1.84
11304;Quillan;-1.4;-1.26;-0.13
11315;Rieux-Minervois;-0.21;-0.99;0.78
11379;Sigean;0.36;-0.26;0.63
11397;Trèbes;-0.52;-0.21;-0.31
12052;Capdenac-Gare;-0.5;-0.84;0.34
12056;Baraqueville;0.12;0.41;-0.29
12089;Decazeville;-1.28;-1.2;-0.08
12094;Entraygues-sur-Truyère;-1.02;-2.93;1.91
12096;Espalion;0.29;-0.9;1.18
12119;Laguiole;-0.18;-1.29;1.11
12120;Laissac-Sévérac l'Église;0.57;-0.77;1.33
12138;Marcillac-Vallon;0.35;-1.14;1.49
12164;Mur-de-Barrez;-2.15;-3.58;1.43
12169;Naucelle;0.27;-1.15;1.42
12185;Pont-de-Salars;-0.16;-1.37;1.21
12197;Réquista;-0.37;-1.5;1.13
12198;Rieupeyroux;-0.48;-1.05;0.57
12199;Rignac;0.75;-0.51;1.26
12208;Saint-Affrique;-0.5;-0.65;0.15
12209;Saint-Amans-des-Cots;-0.2;-2.52;2.33
12224;Saint Geniez d'Olt et d'Aubrac;-0.06;-1.89;1.83
12270;Sévérac d'Aveyron;-0.22;-0.39;0.17
12298;Villecomtal;1.11;-0.16;1.28
13014;Berre-l'Étang;0.53;0.29;0.24
13027;Châteaurenard;1.08;0.38;0.7
13050;Lambesc;0.7;-0.06;0.75
13078;Port-Saint-Louis-du-Rhône;-0.28;0.05;-0.33
13084;La Roque-d'Anthéron;-0.28;0.08;-0.36
13097;Saint-Martin-de-Crau;0.07;0.28;-0.21
13100;Saint-Rémy-de-Provence;-0.27;-0.54;0.27
13105;Sénas;-0.44;0.21;-0.66
13110;Trets;-0.44;0.29;-0.73
14027;Les Monts d'Aunay;-0.66;-0.13;-0.53
14035;Balleroy-sur-Drôme;-1.04;-0.42;-0.62
14047;Bayeux;-1.11;-0.64;-0.47
14061;Souleuvre en Bocage;-0.03;0.18;-0.21
14098;Thue et Mue;1.6;0.96;0.64
14100;Bretteville-sur-Laize;0.89;-0.04;0.94
14126;Cambremer;-0.6;-0.81;0.21
14143;Caumont-sur-Aure;0.31;-0.32;0.63
14174;Condé-en-Normandie;-1.72;-0.87;-0.85
14191;Courseulles-sur-Mer;0.08;-1.72;1.79
14200;Creully sur Seulles;-0.73;0.13;-0.86
14225;Dives-sur-Mer;-1.7;-0.49;-1.21
14228;Douvres-la-Délivrande;-0.3;-0.46;0.16
14229;Dozulé;0.23;-1.15;1.39
14257;Évrecy;0.11;-0.57;0.67
14258;Falaise;-0.96;-0.67;-0.29
14312;Grandcamp-Maisy;-1.04;-2.06;1.02
14333;Honfleur;-1.61;-0.19;-1.42
14342;Isigny-sur-Mer;-0.48;-0.68;0.2
14370;Le Molay-Littry;0.03;-0.56;0.59
14371;Livarot-Pays-d'Auge;-0.83;-0.36;-0.47
14384;Luc-sur-Mer;0.5;-1.17;1.68
14431;Mézidon Vallée d'Auge;-0.58;0.19;-0.78
14478;Orbec;-1.63;-1.41;-0.22
14488;Ouistreham;0.28;-0.86;1.13
14514;Pont-l'Évêque;0.46;-1.05;1.51
14515;Port-en-Bessin-Huppain;-0.39;-1.3;0.91
14516;Potigny;0.15;-0.65;0.81
14654;Saint-Pierre-en-Auge;-1.2;-0.63;-0.57
14658;Noues de Sienne;-0.68;-0.51;-0.17
14689;Thury-Harcourt-le-Hom;-0.4;-0.18;-0.22
14692;Tilly-sur-Seulles;1.11;0.78;0.33
14711;Trévières;-0.16;-1.42;1.26
14726;Valdallière;-0.98;0.03;-1.01
14752;Villers-Bocage;0.13;-1.09;1.22
14754;Villers-sur-Mer;-1.59;-1;-0.6
14764;Pont-d'Ouilly;-0.95;-0.33;-0.62
15001;Allanche;0.75;-2.13;2.89
15045;Chaudes-Aigues;-1.47;-2.13;0.66
15054;Condat;-0.82;-1.97;1.15
15083;Jussac;0.09;-0.09;0.18
15094;Laroquebrou;-1.75;-3.55;1.81
15119;Massiac;0.73;-1.58;2.31
15120;Mauriac;-0.7;-1.65;0.95
15122;Maurs;-0.47;-1.85;1.38
15134;Montsalvy;-0.75;-2.92;2.17
15138;Murat;-1.41;-2.32;0.91
15140;Naucelles;1.38;0.21;1.17
15141;Neussargues en Pinatelle;-2.04;-1.42;-0.62
15152;Pierrefort;0.07;-1.7;1.78
15153;Pleaux;-0.65;-1.52;0.87
15162;Riom-ès-Montagnes;-1.08;-1.54;0.46
15175;Saint-Cernin;-0.5;-0.29;-0.2
15187;Saint-Flour;-0.53;-0.39;-0.13
15202;Saint-Martin-Valmeroux;-1.83;-0.64;-1.19
15204;Saint-Paul-des-Landes;-0.07;0.2;-0.26
15215;Saint-Simon;-0.58;0.16;-0.74
15221;Sansac-de-Marmiesse;0.18;0.49;-0.31
15255;Vézac;1.65;0.38;1.26
15258;Vic-sur-Cère;0.1;-1.61;1.7
15265;Ydes;-1.49;-1.65;0.17
15267;Ytrac;0.54;-0.03;0.57
15268;Le Rouget-Pers;0.14;-1.87;2.02
16005;Aigre;-0.3;-2.08;1.78
16028;Barbezieux-Saint-Hilaire;0.16;-1.17;1.33
16073;Chalais;0.08;-1.56;1.64
16090;Châteauneuf-sur-Charente;0.21;-0.82;1.03
16106;Confolens;0.07;-2.7;2.77
16167;Jarnac;0.17;-1.2;1.38
16192;Terres-de-Haute-Charente;-0.6;-0.95;0.35
16206;Mansle-les-Fontaines;0.24;-1.37;1.6
16223;Montbron;-0.52;-1.65;1.13
16230;Montmoreau;-0.81;-1.27;0.47
16281;La Rochefoucauld-en-Angoumois;-0.1;-0.52;0.42
16286;Rouillac;-0.23;-0.94;0.72
16292;Ruffec;-0.6;-1.34;0.73
16366;Segonzac;-0.24;-0.63;0.39
16408;Villebois-Lavalette;-0.95;-2.64;1.7
17024;Aulnay;-1.34;-1.41;0.07
17127;Courçon;2.1;0.43;1.67
17172;Gémozac;0.91;-0.81;1.72
17197;Jonzac;0.47;-1.25;1.72
17218;Marans;-0.19;-0.96;0.77
17219;Marennes-Hiers-Brouage;-0.31;-1.06;0.75
17224;Matha;0.11;-1.05;1.17
17236;Mirambeau;0.44;-1.18;1.62
17240;Montendre;0.09;-0.91;1
17241;Montguyon;-0.27;-0.94;0.66
17283;Pons;0.61;-0.85;1.45
17284;Pont-l'Abbé-d'Arnoult;-0.13;-0.31;0.19
17309;Saint-Aigulin;-0.06;-0.63;0.56
17331;Saint-Genis-de-Saintonge;-0.2;-2.05;1.85
17347;Saint-Jean-d'Angély;-0.96;-1.51;0.55
17385;Saint-Pierre-d'Oléron;-0.31;-1.07;0.77
17387;Saint-Porchaire;0.78;-0.56;1.33
17397;Saint-Savinien;0.18;-1.3;1.48
17421;Saujon;-0.04;-1.15;1.1
17434;Surgères;0.18;-0.53;0.72
18003;Les Aix-d'Angillon;-0.29;-0.79;0.5
18015;Aubigny-sur-Nère;-0.19;-0.91;0.72
18018;Avord;1.34;0.45;0.89
18023;Baugy;-1.02;0.05;-1.07
18057;Châteaumeillant;-2.09;-1.83;-0.25
18058;Châteauneuf-sur-Cher;-0.79;-1.22;0.43
18087;Dun-sur-Auron;-1.75;-1.15;-0.6
18108;La Guerche-sur-l'Aubois;-0.82;-0.97;0.15
18109;Henrichemont;-0.84;-1.27;0.43
18127;Lignières;-0.45;-1.85;1.39
18141;Mehun-sur-Yèvre;-0.5;-0.68;0.19
18197;Saint-Amand-Montrond;-0.79;-1.3;0.52
18207;Saint-Florent-sur-Cher;-0.64;-0.75;0.11
18223;Saint-Martin-d'Auxigny;1.14;0.37;0.78
18233;Saint-Satur;-0.66;-1.47;0.81
18241;Sancerre;-1.16;-1.14;-0.01
18242;Sancoins;-0.97;-1.14;0.17
19010;Argentat-sur-Dordogne;-1.2;-1.54;0.35
19011;Arnac-Pompadour;0.36;-1.43;1.79
19019;Beaulieu-sur-Dordogne;-0.53;-3.1;2.57
19023;Beynat;-0.49;-1.29;0.8
19028;Bort-les-Orgues;-1.28;-1.64;0.36
19036;Chamberet;0.59;-2.27;2.86
19073;Égletons;0.07;-0.5;0.57
19121;Lubersac;0.2;-0.97;1.17
19138;Meyssac;-0.42;-1.86;1.44
19148;Neuvic;-0.62;-2.12;1.5
19269;Treignac;-1.07;-2.72;1.65
19275;Ussel;-1.09;-0.28;-0.82
19276;Uzerche;-0.53;-1.15;0.62
21023;Arnay-le-Duc;-1.3;-2.32;1.02
21038;Auxonne;-0.31;-0.36;0.05
21103;Brazey-en-Plaine;-0.09;-0.08;-0.01
21154;Châtillon-sur-Seine;-0.02;-0.85;0.83
21292;Genlis;-0.56;-0.03;-0.53
21317;Is-sur-Tille;-0.34;-0.21;-0.13
21425;Montbard;-1.77;-0.89;-0.88
21501;Pouilly-en-Auxois;0.99;-1.24;2.23
21554;Saint-Jean-de-Losne;-1.61;-2.58;0.97
21584;Saulieu;-1.03;-1.22;0.19
21603;Semur-en-Auxois;-0.23;-1.07;0.85
21607;Seurre;-0.66;-0.99;0.33
21663;Venarey-les-Laumes;-0.68;-0.14;-0.54
21710;Vitteaux;-0.27;-3.4;3.13
22004;Bégard;0.3;-0.71;1.02
22020;Broons;0.14;-1.76;1.9
22025;Callac;0.18;-2.23;2.41
22032;Caulnes;0.24;-0.62;0.86
22050;Dinan;0.7;-1.28;1.97
22070;Guingamp;0.49;-0.52;1.01
22084;Jugon-les-Lacs;0.32;0.06;0.26
22093;Lamballe-Armor;0.2;-0.18;0.38
22121;Lanvollon;0.9;-1.11;2.01
22136;Loudéac;0.25;-0.38;0.63
22137;Maël-Carhaix;-0.66;-1;0.35
22143;Matignon;0.61;-1.31;1.92
22147;Merdrignac;0.15;-0.91;1.06
22158;Guerlédan;0.26;-0.75;1
22162;Paimpol;-0.02;-1.5;1.48
22172;Plancoët;0.12;-0.73;0.85
22183;Plémet;0.49;-0.09;0.58
22194;Plestin-les-Grèves;0.17;-1.98;2.15
22203;Plœuc-L'Hermitage;0.23;-0.24;0.47
22206;Châtelaudren-Plouagat;0.63;-0.14;0.77
22207;Plouaret;0.54;-1.23;1.77
22222;Plouha;0.44;-1.68;2.12
22262;Quintin;-0.15;-1.64;1.48
22266;Rostrenen;0.56;-1.5;2.06
22321;Saint-Nicolas-du-Pélem;-1.25;-1.37;0.12
22362;Tréguier;-0.42;-3.01;2.59
23001;Ahun;-0.17;-1.2;1.03
23008;Aubusson;-1.94;-1.92;-0.02
23013;Auzances;-1.17;-1.92;0.75
23021;Bénévent-l'Abbaye;-1.15;-3.5;2.35
23025;Bonnat;0.57;-2.44;3
23030;Bourganeuf;-1.8;-1.5;-0.3
23031;Boussac;-0.45;-2.67;2.22
23045;Chambon-sur-Voueize;-1.33;-2.54;1.2
23061;Chénérailles;-0.46;-0.33;-0.13
23067;La Courtine;1.3;-1.25;2.55
